CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-505,Contra Costa County CoC,Under 18,1089
2018,CA-505,Contra Costa County CoC,Unknown,58
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,48
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,127
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,132
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,156
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,205
2018,CA-506,"Monterey, San Benito Counties CoC",65+,83
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,181
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2018,CA-507,Marin County CoC,18-24,74
2018,CA-507,Marin County CoC,25-34,225
2018,CA-507,Marin County CoC,35-44,213
2018,CA-507,Marin County CoC,45-54,259
2018,CA-507,Marin County CoC,55-64,234
2018,CA-507,Marin County CoC,65+,101
2018,CA-507,Marin County CoC,Under 18,234
2018,CA-507,Marin County CoC,Unknown,12
2018,CA-508,Santa Cruz County CoC,18-24,107
2018,CA-508,Santa Cruz County CoC,25-34,300
2018,CA-508,Santa Cruz County CoC,35-44,297
2018,CA-508,Santa Cruz County CoC,45-54,313
2018,CA-508,Santa Cruz County CoC,55-64,302
2018,CA-508,Santa Cruz County CoC,65+,119
2018,CA-508,Santa Cruz County CoC,Under 18,501
2018,CA-508,Santa Cruz County CoC,Unknown,74
2018,CA-509,Mendocino County CoC,18-24,61
2018,CA-509,Mendocino County CoC,25-34,96
2018,CA-509,Mendocino County CoC,35-44,107
2018,CA-509,Mendocino County CoC,45-54,107
2018,CA-509,Mendocino County CoC,55-64,101
2018,CA-509,Mendocino County CoC,65+,39
2018,CA-509,Mendocino County CoC,Under 18,62
2018,CA-509,Mendocino County CoC,Unknown,25
2018,CA-510,Stanislaus County CoC,18-24,526
2018,CA-510,Stanislaus County CoC,25-34,1054
2018,CA-510,Stanislaus County CoC,35-44,933
2018,CA-510,Stanislaus County CoC,45-54,747
2018,CA-510,Stanislaus County CoC,55-64,582
2018,CA-510,Stanislaus County CoC,65+,158
2018,CA-510,Stanislaus County CoC,Under 18,2132
2018,CA-510,Stanislaus County CoC,Unknown,89
2018,CA-511,San Joaquin County CoC,18-24,884
2018,CA-511,San Joaquin County CoC,25-34,1863
2018,CA-511,San Joaquin County CoC,35-44,1410
2018,CA-511,San Joaquin County CoC,45-54,1137
2018,CA-511,San Joaquin County CoC,55-64,830
2018,CA-511,San Joaquin County CoC,65+,268
2018,CA-511,San Joaquin County CoC,Under 18,4363
2018,CA-511,San Joaquin County CoC,Unknown,207
2018,CA-512,San Mateo County CoC,18-24,287
2018,CA-512,San Mateo County CoC,25-34,681
2018,CA-512,San Mateo County CoC,35-44,645
2018,CA-512,San Mateo County CoC,45-54,697
2018,CA-512,San Mateo County CoC,55-64,660
2018,CA-512,San Mateo County CoC,65+,226
2018,CA-512,San Mateo County CoC,Under 18,1216
2018,CA-512,San Mateo County CoC,Unknown,68
2018,CA-513,"Kings, Tulare Counties CoC",18-24,276
2018,CA-513,"Kings, Tulare Counties CoC",25-34,558
2018,CA-513,"Kings, Tulare Counties CoC",35-44,603
2018,CA-513,"Kings, Tulare Counties CoC",45-54,458
2018,CA-513,"Kings, Tulare Counties CoC",55-64,274
2018,CA-513,"Kings, Tulare Counties CoC",65+,76
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,788
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,42
2018,CA-514,"Fresno, Madera Counties CoC",18-24,278
2018,CA-514,"Fresno, Madera Counties CoC",25-34,297
2018,CA-514,"Fresno, Madera Counties CoC",35-44,303
2018,CA-514,"Fresno, Madera Counties CoC",45-54,369
2018,CA-514,"Fresno, Madera Counties CoC",55-64,351
2018,CA-514,"Fresno, Madera Counties CoC",65+,98
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,581
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,43
2018,CA-515,Placer County CoC,18-24,89
2018,CA-515,Placer County CoC,25-34,249
2018,CA-515,Placer County CoC,35-44,250
2018,CA-515,Placer County CoC,45-54,273
2018,CA-515,Placer County CoC,55-64,220
2018,CA-515,Placer County CoC,65+,72
2018,CA-515,Placer County CoC,Under 18,333
2018,CA-515,Placer County CoC,Unknown,15
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,34
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,110
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,97
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,67
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,86
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,23
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,102
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,101
2018,CA-517,Napa County CoC,18-24,68
2018,CA-517,Napa County CoC,25-34,179
2018,CA-517,Napa County CoC,35-44,174
2018,CA-517,Napa County CoC,45-54,180
2018,CA-517,Napa County CoC,55-64,180
2018,CA-517,Napa County CoC,65+,37
2018,CA-517,Napa County CoC,Under 18,138
2018,CA-517,Napa County CoC,Unknown,*
2018,CA-518,Solano County CoC,18-24,55
2018,CA-518,Solano County CoC,25-34,172
2018,CA-518,Solano County CoC,35-44,146
2018,CA-518,Solano County CoC,45-54,149
2018,CA-518,Solano County CoC,55-64,186
2018,CA-518,Solano County CoC,65+,52
2018,CA-518,Solano County CoC,Under 18,172
2018,CA-518,Solano County CoC,Unknown,*
2018,CA-519,Butte County CoC,18-24,120
2018,CA-519,Butte County CoC,25-34,270
2018,CA-519,Butte County CoC,35-44,243
2018,CA-519,Butte County CoC,45-54,236
2018,CA-519,Butte County CoC,55-64,216
2018,CA-519,Butte County CoC,65+,84
2018,CA-519,Butte County CoC,Under 18,317
2018,CA-519,Butte County CoC,Unknown,28
2018,CA-520,Merced County CoC,18-24,65
2018,CA-520,Merced County CoC,25-34,153
