Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Perris city,2021,Annual,31900,28900,3000,9.4,N,Final
Sub-County Place,Petaluma city,2021,Annual,31800,30300,1500,4.8,N,Final
Sub-County Place,Pico Rivera city,2021,Annual,29600,26700,2900,9.7,N,Final
Sub-County Place,Piedmont city,2021,Annual,5100,4700,300,6.2,N,Final
Sub-County Place,Pine Mountain Club CDP,2021,Annual,800,700,100,17.5,N,Final
Sub-County Place,Pinole city,2021,Annual,9300,8800,400,4.4,N,Final
Sub-County Place,Piru CDP,2021,Annual,1000,900,100,10.7,N,Final
Sub-County Place,Pismo Beach city,2021,Annual,4000,3900,100,2.5,N,Final
Sub-County Place,Pittsburg city,2021,Annual,33800,31000,2800,8.3,N,Final
Sub-County Place,Pixley CDP,2021,Annual,1600,1300,300,16.8,N,Final
Sub-County Place,Placentia city,2021,Annual,24900,23500,1400,5.8,N,Final
Sub-County Place,Placerville city,2021,Annual,5200,5000,200,4.8,N,Final
Sub-County Place,Planada CDP,2021,Annual,1400,1200,200,16.4,N,Final
Sub-County Place,Pleasant Hill city,2021,Annual,17300,16400,900,5.3,N,Final
Sub-County Place,Pleasanton city,2021,Annual,38300,36500,1700,4.5,N,Final
Sub-County Place,Plumas Eureka CDP,2021,Annual,130,120,20,11.4,N,Final
Sub-County Place,Plymouth city,2021,Annual,550,530,30,4.9,N,Final
Sub-County Place,Point Arena city,2021,Annual,180,170,10,7.2,N,Final
Sub-County Place,Point Reyes Station CDP,2021,Annual,100,100,0,0,N,Final
Sub-County Place,Pollock Pines CDP,2021,Annual,2700,2600,100,4.7,N,Final
Sub-County Place,Pomona city,2021,Annual,66900,60200,6700,10,N,Final
Sub-County Place,Poplar Cotton Center CDP,2021,Annual,1100,800,400,31.9,N,Final
Sub-County Place,Port Costa CDP,2021,Annual,100,100,0,9.9,N,Final
Sub-County Place,Porterville city,2021,Annual,24800,21600,3300,13.1,N,Final
Sub-County Place,Port Hueneme city,2021,Annual,10200,9400,800,7.8,N,Final
Sub-County Place,Portola city,2021,Annual,760,690,70,9.7,N,Final
Sub-County Place,Poway city,2021,Annual,24500,23400,1200,4.7,N,Final
Sub-County Place,Prattville CDP,2021,Annual,10,10,10,46.2,N,Final
Sub-County Place,Prunedale CDP,2021,Annual,10000,9000,1000,9.9,N,Final
Sub-County Place,Quartz Hill CDP,2021,Annual,4500,4200,300,6.2,N,Final
Sub-County Place,Quincy CDP,2021,Annual,920,840,80,8.7,N,Final
